YEAR,MONTH,TYPE,NEIGHBOURHOOD,LAT,LON
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Central Business District,NULL,NULL
2018,1,Assault,Dunbar-Southlands,NULL,NULL
2018,1,Assault,Fairview,NULL,NULL
2018,1,Assault,Fairview,NULL,NULL
2018,1,Assault,Fairview,NULL,NULL
2018,1,Assault,Fairview,NULL,NULL
2018,1,Assault,Fairview,NULL,NULL
2018,1,Assault,Fairview,NULL,NULL
2018,1,Assault,Fairview,NULL,NULL
2018,1,Assault,Fairview,NULL,NULL
2018,1,Assault,Fairview,NULL,NULL
2018,1,Assault,Grandview-Woodland,NULL,NULL
2018,1,Assault,Grandview-Woodland,NULL,NULL
2018,1,Assault,Grandview-Woodland,NULL,NULL
