NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,1.6666666666666667,2.5,3.8,0,2.25,0,4.8,8.4,6.2,1.75,1.5
Central Business District,96.6,61.4,11.0,0,14.4,2,151.6,289.8,278.0,27.2,8.4
Dunbar-Southlands,2.0,1.0,6.0,0,1.5,0,5.6,10.2,6.6,6.0,1.0
Fairview,6.8,18.0,5.0,0,4.2,1,19.0,53.2,45.0,17.8,4.8
Grandview-Woodland,16.2,14.2,10.4,0,5.5,0,28.8,40.2,36.4,8.6,6.6
Hastings-Sunrise,5.6,6.6,9.0,0,4.2,0,18.2,42.0,18.2,4.4,4.0
Kensington-Cedar Cottage,14.0,6.4,9.8,0,3.6,1,20.4,38.4,29.4,4.6,6.2
Kerrisdale,2.0,3.0,4.6,0,1.6,0,4.0,11.0,8.0,3.0,1.4
Killarney,3.4,2.0,4.0,1,2.0,0,7.0,15.2,9.2,3.0,4.25
Kitsilano,3.6,12.4,12.0,0,3.6,0,26.0,49.0,36.2,15.8,2.6
Marpole,6.0,4.6,5.6,0,3.6,0,9.0,22.8,18.8,3.75,1.2
Mount Pleasant,12.6,19.0,7.2,0,5.2,0,32.6,53.6,60.0,13.4,6.4
Musqueam,1.0,0.0,1.0,0,0.0,0,1.0,1.0,1.0,0.0,1.0
Oakridge,2.2,2.2,8.8,0,2.25,0,4.6,12.4,10.2,2.0,2.0
Renfrew-Collingwood,10.0,5.8,10.0,0,4.8,0,17.0,42.2,69.0,5.8,7.4
Riley Park,3.4,5.6,10.0,0,3.3333333333333335,0,11.0,33.8,11.8,5.2,2.75
Shaughnessy,2.75,1.5,8.2,0,1.75,0,5.4,11.2,4.0,2.25,1.75
South Cambie,1.6666666666666667,3.6666666666666665,4.2,0,2.0,0,5.8,8.0,12.0,5.0,2.0
Stanley Park,1.75,1.0,1.0,0,1.0,0,1.3333333333333333,6.333333333333333,3.5,1.5,0.0
Strathcona,48.2,15.2,10.4,1,4.4,1,55.2,56.2,52.0,6.4,7.0
Sunset,4.6,5.25,6.6,1,5.8,0,13.6,30.6,26.0,2.25,5.5
Victoria-Fraserview,3.5,1.5,3.8,0,3.8,0,8.4,23.0,11.6,1.5,2.6
West End,29.0,18.4,3.2,0,4.2,0,30.8,78.6,65.6,12.0,5.0
West Point Grey,1.25,1.25,3.8,0,1.25,1,5.6,9.6,4.0,2.0,0.0
