NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,2.3333333333333335,1.3333333333333333,4.0,1,1.5,0,4.0,10.8,3.6,2.3333333333333335,2.3333333333333335
Central Business District,125.0,51.6,10.6,0,16.0,1,170.2,322.0,324.6,71.2,13.0
Dunbar-Southlands,1.5,2.3333333333333335,6.6,0,1.5,0,4.4,19.2,6.2,3.0,2.25
Fairview,10.4,14.6,4.4,0,4.6,0,23.2,51.6,50.6,31.2,5.2
Grandview-Woodland,16.8,12.8,5.4,0,2.8,1,27.8,45.0,28.6,11.2,6.8
Hastings-Sunrise,8.4,2.4,8.4,0,6.2,1,14.6,44.6,18.4,5.8,7.4
Kensington-Cedar Cottage,12.6,3.25,8.8,0,7.4,0,19.8,38.2,30.6,7.4,5.6
Kerrisdale,2.5,2.5,5.2,0,2.0,0,5.6,11.6,6.2,3.4,2.0
Killarney,4.0,3.6666666666666665,5.4,1,2.6,0,6.2,19.0,13.0,2.8,2.5
Kitsilano,5.4,4.6,10.2,1,5.8,0,17.4,45.4,34.0,24.4,5.2
Marpole,5.6,5.6,9.0,0,5.6,0,11.6,22.6,20.8,5.0,2.6
Mount Pleasant,16.6,16.2,10.8,0,9.8,0,30.2,54.2,71.2,27.2,8.25
Musqueam,1.5,0.0,1.0,0,0.0,0,1.5,0.0,1.5,0.0,1.0
Oakridge,3.25,1.5,6.0,0,1.6666666666666667,0,4.0,9.6,10.0,3.0,2.2
Renfrew-Collingwood,14.0,4.4,10.6,0,6.0,0,19.0,47.4,79.8,5.2,7.2
Riley Park,3.2,3.25,6.2,1,4.0,0,10.2,21.6,16.2,3.6,4.0
Shaughnessy,2.25,1.0,7.2,0,3.0,0,3.4,10.6,2.6,1.0,2.3333333333333335
South Cambie,2.6666666666666665,2.0,3.8,0,1.3333333333333333,0,4.4,10.6,10.8,4.2,1.3333333333333333
Stanley Park,2.6666666666666665,1.0,0.0,0,2.2,0,2.5,8.4,3.0,3.6666666666666665,2.0
Strathcona,53.4,14.0,8.0,0,8.0,0,45.6,57.2,61.8,13.8,10.6
Sunset,9.2,3.0,6.0,1,5.6,0,9.4,27.8,37.8,3.2,4.0
Victoria-Fraserview,5.4,2.0,3.5,0,3.8,0,7.0,16.0,10.4,3.0,4.0
West End,43.4,21.8,6.2,1,6.8,0,38.4,89.6,80.0,23.6,6.8
West Point Grey,2.5,1.3333333333333333,4.8,0,2.0,0,5.2,15.2,6.2,4.4,1.6666666666666667
