NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,2.5,1.0,4.0,0,1.0,0,2.5,5.0,7.5,2.0,1.0
Central Business District,102.5,61.5,9.5,0,15.5,0,156.5,192.0,273.0,20.0,7.5
Dunbar-Southlands,3.0,6.0,4.0,0,1.0,0,3.5,3.0,5.0,0.0,1.0
Fairview,6.5,12.5,3.5,0,1.0,0,17.0,27.0,40.5,5.5,1.5
Grandview-Woodland,18.0,6.5,7.0,0,3.5,0,15.5,22.0,26.5,4.5,4.0
Hastings-Sunrise,4.0,2.0,6.0,0,3.0,0,10.5,18.0,12.0,1.0,3.0
Kensington-Cedar Cottage,7.0,8.0,6.5,0,5.5,0,20.5,24.5,30.5,2.0,3.5
Kerrisdale,2.5,1.0,5.5,0,2.0,0,3.0,6.0,8.0,1.0,0.0
Killarney,4.5,4.0,2.0,0,3.5,0,7.5,13.5,11.5,1.0,2.5
Kitsilano,1.5,6.0,6.0,0,2.5,1,11.5,18.0,21.5,4.5,2.0
Marpole,8.0,5.5,8.0,0,5.0,0,10.5,17.5,20.5,2.0,2.0
Mount Pleasant,14.0,13.5,8.5,0,6.0,0,17.0,24.5,66.5,7.0,5.0
Musqueam,1.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0
Oakridge,4.5,2.0,6.0,0,2.0,0,1.5,3.5,5.0,1.0,1.0
Renfrew-Collingwood,10.5,4.5,3.0,0,6.5,0,15.5,23.5,83.5,1.0,4.5
Riley Park,2.5,4.0,4.0,0,3.5,0,4.5,9.5,10.0,1.0,2.0
Shaughnessy,2.5,1.5,4.0,0,3.0,0,4.0,5.5,2.0,1.0,3.0
South Cambie,2.0,3.5,4.5,0,2.0,0,1.5,3.5,4.5,0.0,0.0
Stanley Park,1.0,1.0,0.0,0,0.0,0,0.0,8.5,2.0,0.0,0.0
Strathcona,44.0,9.5,6.0,1,4.0,1,28.5,28.0,45.5,2.5,5.0
Sunset,4.5,2.0,3.5,0,3.0,0,7.0,18.5,54.5,4.0,4.0
Victoria-Fraserview,3.5,1.5,3.5,0,3.0,0,5.0,15.5,11.5,1.5,7.0
West End,42.5,13.0,1.5,0,3.0,0,37.0,55.5,63.0,12.0,5.0
West Point Grey,1.0,1.0,1.5,0,0.0,0,2.0,4.0,2.5,0.0,0.0
