NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
ArR,4.0,3.5,8.5,1,7.5,0.0,11.0,21.0,13.0,5.5,2.5
CBD,330.0,148.5,27.0,1,36.0,1.5,530.0,553.0,865.5,88.5,29.0
Du-S,5.5,2.0,8.5,0,4.5,0.0,14.0,27.0,16.5,2.0,5.0
Fai,16.5,33.5,4.5,0,13.0,0.0,51.5,74.0,122.5,45.5,9.5
Gr-W,66.0,26.5,17.0,1,13.0,0.0,75.0,83.5,88.5,12.0,16.5
Ha-S,22.5,12.5,14.0,0,18.5,1.0,55.5,78.5,45.5,6.0,18.0
K-C,31.5,11.0,19.5,2,17.5,0.0,60.0,83.0,83.0,12.5,16.0
Ker,3.0,2.0,10.5,0,9.5,0.0,5.5,23.5,16.0,2.5,2.0
Kil,15.5,7.0,5.5,1,10.0,0.0,15.5,40.5,29.0,6.0,12.0
Kit,18.0,18.5,16.0,0,11.5,0.0,44.0,83.5,75.0,25.0,10.0
Mar,21.5,12.5,18.5,1,10.5,0.0,27.5,54.5,50.0,7.0,12.5
MoP,53.5,52.0,12.0,1,23.0,0.0,87.5,110.0,185.5,39.0,13.0
Mus,3.0,0.0,0.0,0,3.0,0.0,1.0,3.0,0.0,0.0,1.0
Oak,6.0,4.5,10.0,0,6.0,0.0,10.5,24.0,17.5,4.5,5.0
Re-C,40.5,9.5,21.0,1,22.0,1.0,59.0,103.5,280.0,12.0,20.5
RiP,12.5,9.5,16.0,0,10.5,0.0,24.0,48.0,34.5,8.0,9.0
SCa,8.5,3.5,5.5,0,1.5,0.0,13.0,17.5,28.0,7.0,3.0
Sha,4.5,1.0,13.0,0,10.0,0.0,8.5,19.5,10.5,4.0,2.5
StP,2.0,1.0,0.0,0,4.5,0.0,3.5,9.0,4.0,2.0,0.0
Str,139.0,22.5,23.0,2,18.0,0.0,128.5,115.0,152.5,15.5,24.0
Sun,25.5,7.5,9.5,0,17.5,1.0,36.0,66.5,151.5,4.0,14.0
Vi-F,17.5,4.0,8.5,0,8.5,0.0,26.0,52.0,29.0,5.0,10.0
WPG,4.0,1.0,8.0,1,2.0,0.0,7.5,20.0,8.5,0.0,1.5
WeE,137.0,53.5,8.0,1,13.0,0.0,108.0,195.5,189.0,50.0,15.0
