NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,1,6,4,0,1,0,7,5,6,1,3
Central Business District,93,61,12,1,16,0,160,193,226,15,8
Dunbar-Southlands,0,1,1,0,2,0,8,6,3,0,0
Fairview,8,12,13,0,2,0,26,32,49,14,2
Grandview-Woodland,17,6,6,0,0,0,21,18,24,1,5
Hastings-Sunrise,9,5,4,1,0,0,13,18,17,2,3
Kensington-Cedar Cottage,7,8,5,0,4,0,20,32,37,3,9
Kerrisdale,0,6,6,0,1,0,3,7,3,3,0
Killarney,2,6,8,0,2,0,19,14,11,1,4
Kitsilano,5,8,6,0,3,0,16,12,33,6,2
Marpole,6,8,8,0,3,0,10,17,15,0,4
Mount Pleasant,17,19,4,0,5,0,28,25,63,5,1
Musqueam,2,0,0,0,0,0,0,0,0,0,0
Oakridge,2,4,2,0,4,0,3,8,4,1,0
Renfrew-Collingwood,9,3,5,0,5,0,19,25,96,0,7
Riley Park,4,2,1,0,0,0,4,16,5,1,1
Shaughnessy,0,2,5,0,1,0,3,10,3,2,3
South Cambie,1,5,2,0,1,0,2,8,6,2,3
Stanley Park,1,0,0,0,0,0,1,1,1,0,0
Strathcona,43,7,14,0,4,0,42,30,43,4,6
Sunset,5,9,1,0,8,0,2,9,65,1,5
Victoria-Fraserview,4,2,5,0,4,0,7,11,14,0,3
West End,40,24,2,0,4,0,36,42,54,3,4
West Point Grey,0,0,6,0,0,1,2,2,0,0,0
