NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,2.0,1.5,4.2,0,2.0,0.0,3.6,7.2,7.2,2.6666666666666665,1.6666666666666667
Central Business District,100.0,63.6,11.0,1,14.8,1.5,176.2,387.0,333.6,16.2,8.0
Dunbar-Southlands,2.0,1.6666666666666667,8.75,0,2.3333333333333335,0.0,7.6,12.2,7.2,1.0,1.5
Fairview,8.6,17.6,6.8,0,4.2,0.0,21.8,54.8,52.0,8.0,3.6
Grandview-Woodland,16.0,15.4,12.6,1,5.6,0.0,31.4,50.6,37.0,4.2,7.2
Hastings-Sunrise,7.0,5.6,9.0,0,4.4,0.0,17.6,40.6,20.6,2.4,5.75
Kensington-Cedar Cottage,9.0,6.2,8.8,2,6.4,0.0,23.6,48.0,31.8,3.75,5.4
Kerrisdale,1.3333333333333333,3.25,8.0,0,1.4,0.0,4.6,10.8,8.0,1.0,1.8
Killarney,4.0,3.0,4.4,0,3.25,0.0,6.2,18.2,12.8,2.0,3.4
Kitsilano,5.0,11.8,11.6,0,4.0,0.0,17.2,48.0,28.4,7.0,3.4
Marpole,7.4,6.0,12.2,0,4.4,1.0,14.4,29.0,21.2,1.4,3.6
Mount Pleasant,14.6,23.2,9.8,0,6.4,1.0,27.8,54.6,70.2,9.4,7.8
Musqueam,1.3333333333333333,0.0,1.0,0,0.0,0.0,2.0,2.0,0.0,1.0,0.0
Oakridge,2.25,3.6,8.2,0,2.6,0.0,4.6,14.0,12.8,1.0,1.5
Renfrew-Collingwood,11.4,6.6,10.0,0,8.4,1.0,23.8,51.6,76.6,1.75,6.6
Riley Park,3.5,3.8,10.4,0,3.75,0.0,11.0,24.4,17.2,2.75,3.4
Shaughnessy,2.5,1.3333333333333333,9.4,0,2.75,0.0,3.4,10.2,4.4,3.0,2.3333333333333335
South Cambie,3.0,2.25,2.6,0,1.0,1.0,4.8,5.4,8.8,1.25,3.5
Stanley Park,2.0,1.5,1.0,0,1.0,0.0,1.0,7.0,1.6666666666666667,1.0,0.0
Strathcona,41.0,15.6,8.2,1,6.0,1.0,46.2,64.0,49.4,5.0,5.6
Sunset,7.4,7.2,5.6,0,6.2,1.0,19.4,33.0,26.6,1.5,5.4
Victoria-Fraserview,5.2,2.75,2.8,0,3.8,0.0,9.4,18.2,10.8,1.0,3.0
West End,37.8,20.0,2.8,0,5.8,0.0,39.8,116.4,71.6,7.2,4.0
West Point Grey,3.0,1.8,6.2,0,1.75,0.0,3.8,8.0,3.6,1.0,1.0
