NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,1.2,1.5,3.4,0,1.6666666666666667,0.0,4.8,5.8,7.4,2.75,1.0
Central Business District,121.6,49.2,11.6,1,14.8,1.5,155.2,291.0,296.8,64.6,11.2
Dunbar-Southlands,3.0,2.5,5.4,0,2.0,0.0,7.0,14.2,9.4,2.8,2.0
Fairview,8.2,12.4,10.25,0,5.0,0.0,19.2,45.4,43.8,30.6,2.2
Grandview-Woodland,21.8,9.4,11.6,0,4.0,1.0,24.2,40.0,32.2,13.8,6.6
Hastings-Sunrise,10.6,4.6,8.4,0,6.8,0.0,18.0,37.4,15.8,6.6,5.8
Kensington-Cedar Cottage,11.4,4.4,11.0,0,7.2,1.0,24.6,43.0,31.0,8.6,4.6
Kerrisdale,1.3333333333333333,2.5,6.8,0,3.5,1.0,6.0,10.4,6.2,2.25,3.0
Killarney,3.0,2.0,2.2,0,2.4,0.0,7.4,16.4,9.2,2.8,2.6
Kitsilano,7.2,6.6,13.6,0,4.8,0.0,18.2,45.0,37.2,19.2,6.6
Marpole,5.8,5.0,7.0,0,3.4,0.0,14.8,18.6,17.6,2.6,3.8
Mount Pleasant,14.8,16.4,11.4,0,7.0,0.0,27.8,43.6,75.6,29.2,7.6
Musqueam,3.0,0.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
Oakridge,2.2,3.25,5.2,0,2.0,0.0,5.0,9.0,9.8,2.2,1.6666666666666667
Renfrew-Collingwood,12.8,5.0,9.2,0,6.8,0.0,15.0,41.0,77.0,5.2,8.2
Riley Park,3.6,4.6,8.2,0,3.5,0.0,9.0,27.6,14.8,6.4,4.4
Shaughnessy,2.0,1.5,9.8,0,1.8,0.0,3.8,8.8,5.4,1.6666666666666667,1.4
South Cambie,2.75,1.75,3.4,0,1.5,0.0,2.0,9.6,8.6,3.5,1.0
Stanley Park,1.6,2.0,1.0,0,2.5,0.0,2.25,4.8,5.8,2.0,1.5
Strathcona,52.0,15.0,8.6,2,5.8,1.5,49.6,54.6,61.0,13.0,11.2
Sunset,8.6,3.25,4.0,1,6.4,1.0,12.4,26.0,31.6,3.0,5.0
Victoria-Fraserview,4.6,2.0,3.5,0,3.25,0.0,11.2,18.4,11.8,1.75,2.0
West End,47.2,12.8,3.0,1,5.2,1.0,40.6,85.0,76.8,25.2,6.0
West Point Grey,1.5,1.6,3.8,1,1.25,0.0,4.8,11.6,4.6,4.0,2.5
