NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,3,1,4,0,0,0,7,6,2,3,2
Central Business District,117,40,11,1,21,0,158,207,257,34,6
Dunbar-Southlands,1,0,1,0,0,0,2,6,6,0,1
Fairview,10,9,1,0,3,0,15,24,32,21,5
Grandview-Woodland,19,6,7,0,4,0,25,30,46,4,5
Hastings-Sunrise,11,2,9,0,4,0,11,20,12,2,3
Kensington-Cedar Cottage,16,12,7,0,10,0,27,36,38,5,4
Kerrisdale,3,0,6,0,5,0,4,6,11,3,0
Killarney,12,1,1,0,3,0,2,26,11,1,1
Kitsilano,7,5,5,1,4,0,16,23,22,7,6
Marpole,8,3,4,0,5,0,13,19,21,3,2
Mount Pleasant,21,16,6,0,9,1,24,31,65,14,5
Oakridge,2,4,5,0,2,0,3,7,4,3,1
Renfrew-Collingwood,10,7,8,0,6,0,12,35,88,9,8
Riley Park,1,5,6,0,1,0,10,14,7,6,2
Shaughnessy,0,0,6,0,4,0,1,8,4,0,0
South Cambie,2,5,3,0,0,0,7,6,11,2,0
Stanley Park,0,0,0,0,0,0,2,2,2,3,0
Strathcona,53,7,6,0,7,0,49,43,45,9,3
Sunset,7,1,7,0,3,0,9,22,76,3,0
Victoria-Fraserview,4,3,1,0,5,1,4,18,13,2,2
West End,34,18,2,0,5,0,25,45,77,16,5
West Point Grey,3,1,3,0,0,0,2,6,8,2,1
