NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,2.0,2.3333333333333335,3.5,0,1.0,0,6.2,10.75,7.6,4.0,1.0
Central Business District,103.6,60.2,10.6,1,11.8,2,160.0,320.4,298.4,22.2,7.8
Dunbar-Southlands,1.0,1.5,3.6,1,1.6,0,6.2,11.2,6.2,1.0,1.0
Fairview,7.4,17.6,8.2,0,4.333333333333333,0,25.0,56.0,56.2,10.6,3.4
Grandview-Woodland,20.2,12.4,12.4,0,3.4,0,28.2,41.2,41.2,6.2,9.6
Hastings-Sunrise,6.6,2.4,9.8,0,5.25,0,20.2,34.6,18.2,3.0,5.8
Kensington-Cedar Cottage,14.6,4.8,9.8,0,4.2,0,23.0,34.6,33.2,5.8,4.8
Kerrisdale,2.5,1.0,9.0,1,1.8,0,6.2,11.8,7.6,2.5,2.5
Killarney,4.6,3.5,3.6,0,2.2,0,10.4,13.8,8.8,1.3333333333333333,4.666666666666667
Kitsilano,5.4,11.2,9.4,0,3.2,0,17.4,42.0,31.4,8.8,3.0
Marpole,7.4,7.4,5.2,0,4.8,0,9.2,24.4,20.6,2.6666666666666665,2.4
Mount Pleasant,11.8,22.0,7.8,1,5.2,0,29.2,63.4,71.6,10.6,6.0
Musqueam,1.5,0.0,0.0,0,1.0,0,0.0,0.0,1.0,0.0,0.0
Oakridge,3.2,3.0,6.0,0,2.0,0,6.2,11.4,12.25,1.75,1.25
Renfrew-Collingwood,12.4,6.6,8.2,1,5.0,0,19.2,42.8,81.4,3.0,6.4
Riley Park,4.6,4.8,8.0,0,2.0,0,10.2,24.0,16.0,4.2,2.6
Shaughnessy,1.0,1.6666666666666667,5.6,0,2.0,0,3.0,10.4,3.2,1.6666666666666667,1.3333333333333333
South Cambie,2.5,3.6,4.6,0,1.0,0,4.0,12.4,12.2,1.75,1.5
Stanley Park,1.3333333333333333,0.0,0.0,0,2.0,0,1.5,4.5,1.6,0.0,0.0
Strathcona,38.0,18.2,9.0,1,4.4,1,47.8,50.2,55.0,3.8,6.4
Sunset,7.0,5.8,4.2,0,6.2,0,17.0,27.0,27.2,3.0,3.2
Victoria-Fraserview,4.0,1.3333333333333333,7.2,0,2.8,0,7.8,21.2,12.0,1.0,2.2
West End,31.8,19.2,5.2,0,3.4,0,37.2,88.4,69.8,8.8,6.0
West Point Grey,2.0,1.6666666666666667,8.0,0,1.3333333333333333,0,2.8,11.8,3.4,1.4,1.75
