NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,1.6,1.25,5.8,0,1.3333333333333333,0,3.4,8.8,7.2,1.25,1.25
Central Business District,98.2,50.6,7.4,0,15.0,1,156.2,259.6,264.8,43.6,11.6
Dunbar-Southlands,1.6,1.6666666666666667,6.6,0,2.0,0,5.4,8.0,4.6,1.75,2.0
Fairview,6.8,16.8,4.0,0,3.0,0,17.2,47.4,43.0,25.4,2.8
Grandview-Woodland,16.4,7.6,11.2,0,3.0,0,24.8,42.0,31.2,8.8,8.8
Hastings-Sunrise,7.2,5.6,9.0,0,4.4,0,16.0,47.8,16.0,3.8,6.8
Kensington-Cedar Cottage,12.0,5.8,11.2,1,5.0,0,18.8,49.0,27.8,7.8,6.0
Kerrisdale,2.6,2.0,6.4,1,4.0,0,3.6,11.8,7.0,2.0,1.0
Killarney,6.6,3.2,5.5,0,4.0,0,7.4,16.4,8.8,1.3333333333333333,1.4
Kitsilano,6.2,8.0,10.8,0,4.8,0,18.8,40.0,30.0,16.6,4.0
Marpole,4.4,4.4,6.8,1,4.0,1,8.8,19.4,18.0,4.5,2.2
Mount Pleasant,13.6,17.2,11.8,0,5.4,1,29.2,48.6,61.8,19.4,7.4
Musqueam,2.0,1.0,1.0,0,1.0,0,0.0,1.0,1.0,0.0,0.0
Oakridge,3.0,1.5,6.2,0,2.8,0,5.8,9.0,9.8,2.8,3.0
Renfrew-Collingwood,8.4,5.0,10.6,1,5.4,1,17.4,40.4,74.6,4.6,6.4
Riley Park,2.75,2.8,9.6,1,2.8,0,10.4,24.8,13.6,5.75,4.0
Shaughnessy,2.3333333333333335,2.0,9.6,0,3.0,0,4.8,7.4,3.4,2.0,1.6666666666666667
South Cambie,2.0,2.6666666666666665,4.6,0,1.6666666666666667,0,3.8,7.6,11.8,5.25,1.25
Stanley Park,1.6,2.0,0.0,0,2.0,0,1.75,7.0,3.0,6.0,0.0
Strathcona,47.6,11.4,8.6,2,5.2,2,46.8,44.8,45.0,8.2,5.4
Sunset,10.0,4.2,6.2,1,5.6,0,13.0,28.4,34.0,3.25,3.4
Victoria-Fraserview,4.0,2.0,4.6,0,3.4,0,6.2,20.6,10.2,1.4,2.8
West End,40.6,20.4,4.2,0,5.5,0,35.8,72.0,65.6,13.2,6.8
West Point Grey,2.3333333333333335,2.6666666666666665,6.0,1,1.6,0,4.8,13.4,5.6,2.25,2.25
