NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,2.0,1.5,6.0,0,2.0,0.0,2.2,6.8,5.6,2.2,1.5
Central Business District,100.8,54.8,10.2,1,16.0,1.3333333333333333,155.4,324.4,308.4,26.8,8.8
Dunbar-Southlands,2.0,1.3333333333333333,7.2,0,1.8,0.0,4.4,12.0,5.0,2.0,0.0
Fairview,5.6,16.8,6.75,1,4.6,0.0,18.2,45.4,45.4,15.0,4.6
Grandview-Woodland,19.0,10.6,6.6,1,4.4,0.0,33.0,36.8,31.0,6.4,8.0
Hastings-Sunrise,9.4,4.8,10.6,0,5.2,1.0,17.6,32.4,13.8,3.25,4.6
Kensington-Cedar Cottage,10.0,7.2,8.2,1,7.2,0.0,18.6,31.4,30.6,4.4,6.4
Kerrisdale,1.0,2.3333333333333335,5.6,0,1.75,0.0,3.6,9.25,7.4,1.5,1.5
Killarney,2.8,4.0,3.0,1,3.6,0.0,5.4,16.8,10.6,2.2,2.5
Kitsilano,6.0,9.6,6.8,0,5.0,0.0,16.2,37.0,26.2,13.2,3.0
Marpole,5.6,5.0,7.4,1,3.4,0.0,7.6,21.4,19.4,1.75,3.2
Mount Pleasant,12.8,16.8,5.0,0,6.6,0.0,27.8,48.4,61.8,12.0,5.4
Musqueam,1.6666666666666667,0.0,2.0,0,2.0,0.0,1.0,1.0,1.3333333333333333,0.0,1.0
Oakridge,3.0,2.8,5.4,0,1.4,0.0,3.4,10.2,8.8,1.6,1.8
Renfrew-Collingwood,12.2,5.75,9.8,0,7.2,1.0,18.4,42.8,88.0,4.6,5.2
Riley Park,4.8,4.0,8.4,1,3.5,0.0,9.2,23.4,16.8,4.25,3.2
Shaughnessy,1.6666666666666667,1.0,6.2,0,3.25,0.0,3.25,12.0,3.8,1.0,1.0
South Cambie,2.75,1.6,3.75,0,1.6666666666666667,0.0,4.8,12.4,8.8,2.5,3.0
Stanley Park,1.6666666666666667,2.0,0.0,0,2.0,0.0,1.0,7.2,1.5,1.0,0.0
Strathcona,35.8,12.4,10.4,1,5.2,0.0,41.6,58.6,55.8,5.6,5.4
Sunset,6.6,2.6,6.2,0,4.6,1.0,12.8,20.8,34.6,1.0,4.4
Victoria-Fraserview,5.2,1.0,3.4,1,4.8,0.0,8.6,18.6,9.8,1.8,3.0
West End,33.4,21.0,4.0,1,5.0,0.0,32.2,88.0,67.4,14.6,5.6
West Point Grey,1.6666666666666667,2.5,6.4,0,2.3333333333333335,0.0,4.5,11.0,5.8,3.0,1.0
