NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,1.5,2.0,4.0,0,2.5,0,4.0,10.0,6.5,2.0,2.0
Central Business District,120.0,47.0,10.0,1,14.0,1,186.0,199.0,273.0,40.0,10.5
Dunbar-Southlands,1.0,1.0,5.0,0,2.0,0,2.0,12.0,4.5,0.0,3.0
Fairview,5.5,10.5,2.0,0,3.0,0,19.5,29.0,39.0,16.0,4.0
Grandview-Woodland,26.5,8.0,4.0,0,4.5,0,20.5,31.5,27.0,5.5,10.0
Hastings-Sunrise,5.5,5.5,3.0,0,7.0,0,23.0,27.0,16.0,3.0,6.5
Kensington-Cedar Cottage,12.0,4.0,8.0,0,5.5,0,22.5,25.0,30.0,3.5,3.0
Kerrisdale,1.0,3.0,3.5,0,5.5,0,1.0,10.5,5.5,1.5,2.0
Killarney,5.0,4.0,1.0,0,4.0,0,7.0,14.5,8.5,3.5,3.5
Kitsilano,6.5,4.5,8.0,0,3.0,0,16.0,31.0,25.0,7.0,6.0
Marpole,8.5,3.0,7.5,0,6.0,0,10.0,23.5,17.5,3.5,5.5
Mount Pleasant,18.5,22.0,4.5,1,7.5,0,36.0,45.0,68.5,15.5,6.0
Musqueam,0.0,0.0,0.0,0,1.0,0,1.0,2.0,0.0,0.0,0.0
Oakridge,3.0,3.0,3.0,0,2.0,0,3.5,9.0,7.0,2.0,4.0
Renfrew-Collingwood,13.0,4.5,4.0,0,7.5,0,24.5,37.5,87.5,6.5,5.5
Riley Park,5.0,4.0,5.0,0,3.0,0,13.5,20.0,9.0,3.0,4.0
Shaughnessy,3.0,1.0,3.5,0,2.0,0,4.0,6.0,4.5,4.0,1.5
South Cambie,5.5,1.0,1.5,0,1.0,0,5.5,6.5,13.5,3.0,2.0
Stanley Park,1.0,1.0,0.0,0,3.0,0,2.0,2.0,1.0,0.0,0.0
Strathcona,50.0,10.5,5.0,0,6.5,0,44.0,37.5,47.0,8.0,8.5
Sunset,6.5,1.0,3.5,0,7.5,0,12.5,24.0,50.5,1.0,5.0
Victoria-Fraserview,6.0,2.5,1.5,0,4.5,0,5.0,19.0,8.5,3.0,3.5
West End,53.5,19.5,2.0,1,3.0,0,35.5,69.0,58.5,19.0,6.5
West Point Grey,2.0,0.0,3.5,0,1.0,0,1.5,8.5,3.0,0.0,1.0
