NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
ArR,4.5,4.5,6.5,0,3.0,0,12.0,19.5,18.0,3.0,7.0
CBD,379.5,143.5,30.5,1,52.0,2,518.0,538.5,776.5,133.0,26.0
Du-S,5.5,2.0,13.0,0,5.0,0,12.0,32.5,17.0,2.5,2.0
Fai,31.5,37.5,9.0,0,10.0,0,58.5,82.0,123.0,73.0,12.5
Gr-W,59.5,30.5,23.0,0,9.5,1,71.5,84.5,93.5,21.0,14.0
Ha-S,31.5,11.5,22.5,0,15.5,0,39.5,83.5,37.5,13.0,14.5
K-C,35.5,13.5,21.5,0,19.5,0,67.0,104.5,99.0,18.5,16.0
Ker,6.5,5.5,15.0,0,6.5,1,15.5,30.5,22.0,4.5,2.5
Kil,19.5,7.0,5.5,0,7.5,1,19.0,38.5,31.0,6.0,7.0
Kit,19.0,17.5,24.0,1,15.0,0,43.0,90.0,105.5,45.0,16.5
Mar,16.5,16.5,23.0,0,11.0,0,40.5,59.5,59.0,8.0,8.0
MoP,44.5,47.5,22.0,0,27.0,1,82.5,105.5,195.0,65.5,12.0
Mus,4.0,0.0,1.0,0,1.0,0,2.0,1.0,2.0,0.0,0.0
Oak,5.5,7.0,12.5,0,3.0,0,12.0,20.0,18.5,7.0,3.0
Re-C,39.0,12.5,23.0,0,18.0,0,43.0,101.0,290.0,16.5,18.0
RiP,12.0,11.5,17.0,1,8.5,0,30.5,55.5,39.0,10.5,10.5
SCa,3.5,8.0,9.5,0,4.0,0,14.0,19.0,24.0,11.0,2.0
Sha,2.5,2.0,15.5,0,8.0,0,12.5,21.5,11.0,1.0,5.5
StP,2.5,2.0,0.0,0,5.0,0,4.0,13.0,13.0,4.0,1.0
Str,156.0,38.5,21.0,0,17.5,2,130.0,104.0,149.0,25.5,19.5
Sun,24.0,3.5,12.5,1,12.0,0,30.5,60.0,154.5,7.0,8.5
Vi-F,13.5,7.5,7.0,0,11.5,1,22.5,46.0,34.0,6.0,8.5
WPG,7.5,3.0,13.5,1,3.5,0,11.0,25.0,17.5,6.5,3.5
WeE,144.5,52.5,8.0,1,18.0,0,100.5,177.0,212.5,59.0,12.5
