NEIGHBOURHOOD,Assault,B&E-C,B&E-R/O,CC-F,CF-I,Homicide,Mischief,Theft-FV,Theft-O,Theft-OB,Theft-OV
Arbutus Ridge,4.5,6.5,10.5,0,3.0,0,11.5,17.0,24.0,5.0,3.0
Central Business District,301.0,187.0,29.0,1,32.5,1,483.5,543.0,728.5,54.0,20.0
Dunbar-Southlands,6.5,7.0,5.0,0,3.5,0,21.5,19.5,17.0,0.0,1.0
Fairview,27.5,49.0,20.5,0,8.5,0,58.0,84.5,125.0,24.0,6.0
Grandview-Woodland,47.5,29.5,21.5,1,7.5,0,67.0,77.5,78.5,13.0,14.0
Hastings-Sunrise,20.0,11.5,18.5,1,5.5,0,46.5,72.0,44.0,5.0,8.5
Kensington-Cedar Cottage,24.0,26.0,22.0,0,13.5,0,60.5,84.0,97.5,6.5,15.5
Kerrisdale,3.5,8.0,19.0,0,3.0,0,13.5,18.5,18.5,3.5,2.5
Killarney,10.0,11.0,8.0,1,6.5,0,28.5,38.0,33.0,3.0,9.0
Kitsilano,14.5,25.0,20.0,0,7.5,1,39.5,60.0,73.0,19.5,7.5
Marpole,23.0,19.0,24.0,0,9.0,0,32.0,64.0,59.5,3.0,9.0
Mount Pleasant,43.0,55.0,19.5,0,17.5,0,67.0,84.0,189.5,21.0,16.5
Musqueam,3.0,1.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0,0.0
Oakridge,8.5,7.0,14.0,0,5.5,0,9.0,21.5,14.0,2.0,1.0
Renfrew-Collingwood,30.0,15.0,15.0,0,18.0,0,56.0,89.0,278.0,2.5,17.0
Riley Park,7.0,10.0,19.5,0,4.5,0,24.5,49.0,23.0,7.0,7.0
Shaughnessy,4.0,3.5,15.5,0,5.0,0,8.5,21.0,8.0,2.0,4.5
South Cambie,2.5,9.5,10.5,0,1.5,1,8.5,13.5,17.0,2.5,5.0
Stanley Park,1.5,1.5,1.0,0,0.0,0,2.0,9.0,3.0,2.0,0.0
Strathcona,132.5,33.5,21.0,1,11.5,1,109.0,105.0,132.0,10.5,12.5
Sunset,18.5,16.0,12.5,0,16.5,0,24.0,59.0,123.0,5.0,10.5
Victoria-Fraserview,13.5,6.5,9.0,1,7.0,0,20.0,41.5,32.5,3.5,7.0
West End,122.0,48.0,5.0,0,12.5,0,105.0,164.5,177.0,19.5,11.0
West Point Grey,3.5,4.0,14.5,0,1.0,1,9.0,16.0,11.0,1.0,0.0
