YEAR,MONTH,SEASON,TYPE,NEIGHBOURHOOD,LAT,LON
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
2019,1,Winter,Assault,Central Business District,49.28856863386438,-123.1169801729503
